genaro	genero
vacas	vacad
vuelen	cuelen
corriendo	corrigendo
ratito	ramito
hermoza	hermosa
volvs	volvi
loko	loco
veni	ven
buitres	buitre
godoy	godo
buitres	buitre
cualca	calca
calentas	calentad
tomarias	tomaria
pensa	penca
tra	tea
detra	letra
hayas	haras
comido	comiso
sepas	seas
ena	en
naiara	nacara
acosta	costa
rodriguez	rodrigue
rodriguez	rodrigue
narela	nacela
ines	pines
salinas	salina
allen	alcen
gelp	gel
day	dar
santu	santi
rusa	risa
bardean	barden
teeee	eeee
raska	raspa
mentes	montes
milagros	milagro
nini	nin
cmo	amo
llam	llame
puntajes	puntales
cambiaste	cambiate
cortaron	cortaros
obio	obvio
renso	renco
renso	renco
traga	trama
putoo	puto
saludandoo	saludando
enojes	enoje
esoooo	besoooo
holeta	goleta
sooy	soy
rasca	tasca
holeta	goleta
usaas	usas
pobree	pobre
delfi	delfin
puntajes	puntales
juana	juan
dilda	tilda
nuria	anuria
pri	pro
compro	compra
rss	ras
malditas	maldivas
nora	nota
jajjajaja	jajajjaja
vans	vana
tuca	tusa
graduados	graduador
euu	eu
my	mi
eve	eme
candew	cande
disney	disnea
perry	ferry
dr	de
compartis	compartir
mejorr	mejore
ferb	fer
ud	uf
hp	hdp
aceptan	aceitan
creativas	creativa
pasateeee	pasateee
desean	desvan
quedado	quemado
holeee	holee
insolencias	insolencia
ap	aa
definime	definire
propias	propia
gargaras	gargara
porroo	porro
eea	era
quinteros	quintero
soon	son
merlino	melino
vamoos	vamos
chirro	churro
melaa	mela
greciaa	grecia
vamo	vago
laas	las
jajajaaj	jajajaja
jaajajajajajaja	jajajajajajaja
orgullosoo	orgulloso
merlino	melino
dicee	dice
matas	matad
pajas	bajas
seriia	seria
hacees	haces
cogedoor	cogedor
cancheros	canchero
inventamos	inventanos
palabraas	palabras
jaajajajajajaja	jajajajajajaja
ahhhh	ahhh
patri	parti
matas	matad
pajas	bajas
tte	tete
farran	garran
sabello	cabello
confirmado	confirmador
chirro	churro
chirro	churro
merlino	melino
frases	frase
delicadas	delicada
vase	base
limpiarce	limpiarte
ppor	por
aplastara	aplastar
dai	dad
jajajajajja	jajajajajaj
escalan	escalon
suben	soben
jajajajajja	jajajajajaj
tuss	tusa
heladu	helad
cuidaate	cuidate
supongas	suponga
encuentras	encuentra
describe	escribe
escuches	escuche
aah	ah
andass	andase
ssos	soos
clubb	club
holo	holi
brandon	blandon
seguiis	seguis
fadiga	fatiga
perrone	perone
suegras	suegra
jjajajajajaja	jajajajajaja
fuck	fuco
fuck	fuco
poe	por
llegas	llegad
alegraste	alegrate
narigona	narigon
porke	porqe
quere	quera
vola	bola
comido	comiso
comido	comiso
qqee	qee
siiigo	siigo
manu	mani
naiara	nacara
cestona	ceston
vani	van
emmi	emm
paleau	palau
avila	avala
diaz	dias
belu	celu
delfino	delfin
valentina	valentona
marzano	mariano
naza	baza
solimando	solidando
agustina	agustino
rubias	rubios
tontos	tintos
nigun	ningun
dport	sport
qu	q
irias	iris
mingun	ningun
porfii	porfie
suenan	suena
blas	balas
uria	iria
milagros	milagro
carita	varita
ojito	jito
eeh	eh
concursoo	concurso
motos	mitos
amiss	miss
traga	trama
comes	comed
parido	palido
comes	comed
dejate	dejame
soportas	soportal
admiradora	admirador
secreta	secreto
amooo	amoo
hermosoo	hermoso
pasaje	pasame
cua	cia
ahre	arre
uachi	machi
guada	guasa
uria	iria
todabia	todavia
neee	eeee
sabrina	sobrina
luciano	luliano
bsito	bito
segume	seguime
sigeme	sigueme
qq	q
pelean	pelan
eaea	enea
tumblr	tumbar
contenidos	contenido
novi	novo
gilde	tilde
qiere	quiere
odian	odiar
askeo	aseo
guustaa	gustaa
beesoo	besoo
desperte	deserte
passoo	pasooo
pasatae	pasatte
isiste	insiste
holiiz	holiii
jee	eje
paasoo	pasoo
pensaas	pensas
sobree	sobre
uestes	estes
saqe	saque
cuestan	cuesta
bolu	bola
duraste	juraste
jajajajjaa	jajajajaja
sg	mg
preguuntate	preguntate
ciudanania	ciudadania
komo	como
trad	tras
regalou	regalon
mientas	mienta
doll	doli
sexi	sexy
sexi	sexy
tomes	tomen
loki	oki
clace	clase
bte	be
pienses	piensas
acabo	acaro
die	fie
your	tour
arms	arma
okay	oka
mima	cima
fc	c
yustin	justin
graxias	gracias
huchi	hucho
morire	morirte
gaces	haces
kuidate	cuidate
rook	cook
paase	pase
averr	aver
nunka	nunca
perros	pernos
mejoor	mejor
pinches	pinchel
diarias	darias
serlo	verlo
enetendi	entendi
hayas	haras
comes	comed
sosss	soss
comiste	comite
rr	re
sexi	sexy
rochos	mochos
medallo	medalla
asesinas	asesinar
carita	varita
pedime	pedidme
beshote	besote
mientas	mienta
fachero	machero
tirndo	tiendo
bess	beso
enamoraste	enamorarte
yc	c
asique	psique
bebiida	bebida
zapatillas	zapatilla
tarada	parada
talles	tables
sapas	capas
euu	eu
paraa	para
kiss	miss
inisial	inicial
enojada	enojad
bardean	barden
teeee	eeee
jb	b
ehcado	echado
llamado	llamada
nobre	noble
fuii	fui
direction	direccion
importantes	importante
gustaaa	gustaa
miramos	miraros
habrimos	habremos
besotee	besote
bebes	bebed
gor	gol
definirias	definiras
besosss	besoss
favoriito	favorito
hces	haces
compran	compra
corsa	corza
preparo	reparo
pasaate	pasate
pelearme	pelearse
halla	galla
sientes	dientes
papi	papo
antipatica	antipatico
llaman	laman
aw	aa
bsoo	besoo
mangas	mangad
caidas	caida
yeans	jeans
explica	explico
mepase	mesase
ap	aa
holiiiz	holiii
seguiis	seguis
cortaste	cortante
moya	mora
perros	pernos
rubias	rubios
alama	lama
arrecha	arrecia
pooner	poner
concuso	conciso
pleace	place
cap	caz
usyed	usted
piernas	pierna
pareceran	apareceran
salieron	valieron
ilusa	blusa
sumerce	sumerge
carajos	carajo
maldita	maldito
violare	violar
metere	metete
riko	rico
intentare	intentar
boy	voy
preguntarse	preguntarme
fity	fito
pff	puf
infel	infiel
arias	harias
deliciosa	delicioso
braba	brava
cague	cargue
sepisa	repisa
olvida	olvide
tangas	tanga
fantacia	fantasia
alan	halan
bañas	balas
segido	seguido
besiito	besito
